client_id,visitor_id,completed,duration,age,clnt_tenure,last_step,completed_numeric
34631,292322273_82708113449,no,-1.05,52.0,12 years ,step_3,0
35087,847859473_16432287154,no,69.97,22.0,13 years ,step_2,0
35257,372133373_9777574891,yes,1.85,32.5,7 years ,confirm,1
35346,468995570_54676761370,yes,2.88,32.5,7 years ,confirm,1
35417,384044523_23302560294,yes,2.02,26.5,19 years ,confirm,1
36109,306603996_85757417975,yes,15.33,71.5,21 years ,confirm,1
36109,850187911_34132878274,no,0.55,71.5,21 years ,step_1,0
37064,488045465_27851224051,yes,5.87,32.5,5 years ,confirm,1
37295,19086232_16918855588,yes,6.58,31.5,7 years ,confirm,1
37408,824556260_32757551015,yes,5.58,46.5,6 years ,confirm,1
38685,950230521_52095100215,yes,4423.75,53.0,20 years ,confirm,1
38714,423936024_77675215295,yes,1.9,60.0,10 years ,confirm,1
38930,661627740_45494224423,yes,5.93,25.5,22 years ,confirm,1
38963,652870083_67204095936,yes,17.97,45.5,20 years ,confirm,1
39075,94354315_5268740954,yes,2.52,62.5,14 years ,confirm,1
39968,116572260_42036780154,no,,50.0,4 years ,,0
41516,749562539_73692211778,yes,1.32,55.0,8 years ,confirm,1
41652,884920411_47514559670,no,0.43,55.0,7 years ,step_1,0
42082,159834504_86783116612,yes,6.07,36.0,16 years ,confirm,1
42296,223606082_33779902682,no,,81.0,28 years ,,0
42296,658245487_7919822171,no,2.15,81.0,28 years ,step_1,0
43494,474019471_20027768515,no,,62.0,22 years ,,0
43494,672176156_90772122603,no,1.48,62.0,22 years ,step_2,0
43766,937035979_75342230206,no,0.1,44.0,11 years ,step_1,0
44060,368099332_80252248439,yes,2.33,44.5,5 years ,confirm,1
44216,106495154_2979425095,yes,3.37,44.0,16 years ,confirm,1
44860,104894175_78493940083,yes,4.3,31.5,4 years ,confirm,1
46223,773835808_97141187992,no,1.85,67.0,9 years ,step_3,0
47402,854385699_7834303210,no,-1.73,27.0,7 years ,step_2,0
47571,631301170_99038286201,yes,14.7,25.5,5 years ,confirm,1
47933,843424419_56211326357,yes,-3920.43,49.5,13 years ,confirm,1
48241,436371609_24933651614,no,-1.32,58.0,21 years ,step_1,0
48424,479636985_28592326092,no,0.35,42.0,23 years ,step_2,0
48424,780042332_72229467787,no,5.95,42.0,23 years ,step_3,0
48424,997253304_77262644215,no,0.05,42.0,23 years ,step_1,0
48431,76293008_70564161300,yes,4.37,54.5,12 years ,confirm,1
49412,260263920_63201765506,yes,3.02,51.5,11 years ,confirm,1
49450,519931502_26167985789,yes,12.87,62.5,22 years ,confirm,1
50185,409270338_40062267717,yes,2.83,45.0,5 years ,confirm,1
50271,904917113_89331760787,yes,4.15,35.5,6 years ,confirm,1
50643,979100069_88424590012,yes,6.82,53.0,11 years ,confirm,1
50692,209129483_94930539204,no,,54.0,5 years ,,0
51706,219054602_94644032994,yes,3.33,23.0,6 years ,confirm,1
51814,306370586_34886046101,yes,2.32,60.5,24 years ,confirm,1
51902,407933819_5423056426,yes,1.93,41.0,14 years ,confirm,1
52111,144047185_28153710165,yes,4.27,46.0,8 years ,confirm,1
52111,5791144_57988866197,no,6.98,46.0,8 years ,step_3,0
52111,814386630_70110636250,no,0.5,46.0,8 years ,step_1,0
52384,249645604_8344240288,no,,62.0,18 years ,,0
52456,925912936_1656564070,yes,-5478.33,55.5,5 years ,confirm,1
52461,896021644_63808047375,yes,3.68,46.0,12 years ,confirm,1
52765,500852995_95885249959,yes,3.68,26.5,8 years ,confirm,1
53094,337837453_65073922194,yes,3.72,29.5,7 years ,confirm,1
53123,956216741_94419537864,yes,4.82,54.5,23 years ,confirm,1
53126,930034355_30062243156,yes,1.65,37.5,6 years ,confirm,1
53169,147805733_4309405544,no,,44.0,11 years ,,0
53990,796998471_72265240057,no,3.35,66.0,9 years ,step_3,0
54291,979954555_97229287903,yes,3.72,54.5,14 years ,confirm,1
54363,832170045_56408583475,yes,2.2,86.5,16 years ,confirm,1
54477,218328765_92026803244,no,,34.0,11 years ,,0
55448,840115343_7199681764,yes,-4724.37,58.5,9 years ,confirm,1
56529,223252475_23090603948,yes,3.28,38.0,14 years ,confirm,1
56782,840477802_83297517816,no,-0.63,45.0,10 years ,step_2,0
58001,720124391_7850825847,no,0.77,64.5,17 years ,step_1,0
58001,819735877_60096987602,yes,4.5,64.5,17 years ,confirm,1
58196,500338642_657773211,no,,45.5,7 years ,,0
58196,983697480_34448825600,yes,9.92,45.5,7 years ,confirm,1
58456,77260643_6025650290,no,0.23,61.0,15 years ,step_1,0
58456,85325676_4234306123,yes,-4.85,61.0,15 years ,confirm,1
58589,738314398_64542634741,no,1.22,41.0,9 years ,step_3,0
58589,842997448_53853599914,no,,41.0,9 years ,confirm,0
58676,882635297_97720965095,yes,5.98,51.5,4 years ,confirm,1
58917,62669646_83783891965,yes,3.22,73.0,14 years ,confirm,1
59089,527550186_58690806202,yes,3.38,61.0,7 years ,confirm,1
59605,970008507_18567069047,no,0.62,59.0,15 years ,step_1,0
59782,418060379_33900106965,yes,10.32,65.5,6 years ,confirm,1
59860,7157580_20984012168,yes,3.02,52.0,8 years ,confirm,1
62058,798706495_14667707849,no,,42.0,4 years ,,0
62498,819901939_80546968310,no,,66.0,26 years ,,0
62503,759258929_31034969239,no,-66.18,37.0,7 years ,step_3,0
62837,304946154_37951323919,no,0.58,31.0,14 years ,step_1,0
63001,574068411_92596445511,no,0.2,28.0,23 years ,step_2,0
63377,788039467_77470294436,yes,2.67,26.5,5 years ,confirm,1
64020,773192540_37834411009,yes,18.78,46.5,15 years ,confirm,1
64871,129139037_82139221578,yes,8.05,47.0,15 years ,confirm,1
64964,738553635_30143599641,yes,-5480.35,64.5,28 years ,confirm,1
65716,650832682_25140855857,yes,3.48,45.0,12 years ,confirm,1
65845,465129038_56608944270,yes,13.38,61.5,9 years ,confirm,1
66169,788156762_5097367314,yes,1.5,45.5,14 years ,confirm,1
66543,419590133_34401740992,no,,65.0,22 years ,,0
68116,350878140_69114809238,no,,35.0,4 years ,,0
68170,929911788_24294990654,no,,60.0,24 years ,,0
68830,558792514_19877364799,yes,-5062.08,32.5,13 years ,confirm,1
68854,518023075_39852009617,yes,-1407.63,51.5,9 years ,confirm,1
68963,287437938_75954439812,yes,-2.82,56.5,31 years ,confirm,1
69255,310869805_9693330193,no,,58.5,10 years ,confirm,0
69255,340934634_44192334475,no,,58.5,10 years ,,0
69598,340495265_64604408664,yes,5.1,58.0,8 years ,confirm,1
70225,10421061_82188662618,yes,1.53,33.5,10 years ,confirm,1
71296,560596510_93496651717,yes,3.37,72.5,30 years ,confirm,1
71476,29679030_51860974780,no,,53.0,4 years ,,0
71626,239924782_72527602981,no,1.5,78.0,14 years ,step_3,0
72221,82591170_39869421807,yes,-1662.12,50.5,11 years ,confirm,1
73331,36677609_11304866149,yes,2.1,50.5,14 years ,confirm,1
73335,134353583_52391412605,yes,4.83,37.0,12 years ,confirm,1
73453,111123105_42096754461,yes,14.73,56.5,16 years ,confirm,1
73453,978170378_80699230706,no,,56.5,16 years ,,0
73910,331087954_11621568277,yes,2.83,27.5,10 years ,confirm,1
74169,417472226_13818715306,yes,5.7,35.5,4 years ,confirm,1
74169,949563634_15877679267,no,0.05,35.5,4 years ,step_1,0
75381,232178745_89033983610,no,0.17,25.0,14 years ,step_1,0
75642,435905126_25559298330,yes,7.68,77.5,18 years ,confirm,1
76424,85256436_19393418944,yes,3.75,69.5,7 years ,confirm,1
76776,706771837_52194723708,yes,-1.32,62.5,27 years ,confirm,1
77071,664003424_86243725561,yes,6.62,46.5,5 years ,confirm,1
78728,499189400_86050658999,no,-1.27,34.0,6 years ,step_3,0
78917,58891198_41860073058,no,0.12,68.0,24 years ,step_1,0
79127,733405585_83563406693,yes,-4471.63,64.5,27 years ,confirm,1
79229,179971696_7965661641,no,-0.37,42.0,15 years ,step_2,0
79571,55921025_8176529377,no,,53.0,10 years ,confirm,0
79571,828490186_72406648289,yes,3.08,53.0,10 years ,confirm,1
79679,337095511_72786880840,yes,6.63,57.5,14 years ,confirm,1
79819,168395244_62008133376,no,,42.0,14 years ,,0
80127,858269111_61883090367,yes,-6808.67,45.5,15 years ,confirm,1
80241,929042007_13315662273,no,0.82,65.0,13 years ,step_1,0
80559,347902156_96782120120,yes,4.65,51.5,15 years ,confirm,1
80915,116710954_32986424063,yes,13.67,48.0,9 years ,confirm,1
81102,686459683_83483963961,yes,4.12,58.5,34 years ,confirm,1
81601,347381914_2719380619,no,,32.5,4 years ,,0
81601,70574991_44970081212,yes,10.93,32.5,4 years ,confirm,1
81816,840165069_79914946536,no,0.28,51.0,8 years ,step_2,0
81976,651554010_72966877074,yes,6.87,52.5,24 years ,confirm,1
82376,856800536_87449538307,yes,3.78,32.0,11 years ,confirm,1
82566,165705561_99663584734,yes,2.95,74.5,12 years ,confirm,1
82712,534347774_70632241399,no,-37381.75,59.0,22 years ,step_2,0
82712,640773037_65421560296,no,,59.0,22 years ,,0
82712,947123507_74793404128,no,,59.0,22 years ,,0
82723,43564677_63716938425,no,-1.42,35.0,4 years ,step_3,0
82869,122268084_82834617656,yes,2.37,27.5,8 years ,confirm,1
83158,263643184_50689332447,yes,8.9,54.5,16 years ,confirm,1
83447,554387165_75950158076,yes,1.52,48.5,17 years ,confirm,1
83683,642395897_45801693855,no,,31.0,5 years ,,0
84108,168640190_92458128138,yes,3.85,60.0,6 years ,confirm,1
84480,681681248_35009595637,yes,-576.53,58.5,12 years ,confirm,1
84624,862164494_85494890959,yes,7.35,46.5,20 years ,confirm,1
85097,857348223_18277703314,no,-0.05,65.0,11 years ,step_1,0
85286,627726394_4979888433,no,1.9,22.0,25 years ,step_1,0
85515,631484806_26776875094,no,1.03,75.0,28 years ,step_3,0
85793,674283561_71837039651,yes,4.17,63.5,6 years ,confirm,1
86499,466318496_92684807059,yes,3.18,21.5,5 years ,confirm,1
86616,213285569_94748296377,yes,7.47,30.5,5 years ,confirm,1
86699,78778412_65842551903,yes,2.1,27.5,23 years ,confirm,1
87162,364357975_49403410686,yes,67400.12,63.5,26 years ,confirm,1
87218,235114755_24477340433,yes,-5727.73,27.5,5 years ,confirm,1
87300,910782635_46965641357,yes,8.97,27.5,5 years ,confirm,1
88378,468856842_41982705828,no,-0.92,61.0,3 years ,step_1,0
88723,214205555_46022098554,yes,2.37,66.5,3 years ,confirm,1
88759,436545321_8320042974,yes,6.13,73.5,23 years ,confirm,1
89052,582571766_59090417636,yes,5.88,49.5,15 years ,confirm,1
89108,365572967_15193040764,no,,44.5,15 years ,confirm,0
89116,131621681_61341097127,yes,2.03,23.5,18 years ,confirm,1
89645,716961383_38654136848,no,0.75,32.0,12 years ,step_2,0
90596,828800229_91771690443,no,1.47,48.0,4 years ,step_3,0
90596,930767984_73483499005,yes,2.38,48.0,4 years ,confirm,1
92808,444617501_9507124305,no,-0.77,47.0,5 years ,step_1,0
92808,71801669_99649736115,yes,2.77,47.0,5 years ,confirm,1
93127,44559662_12767213448,yes,2.23,44.0,8 years ,confirm,1
93127,659415856_56123573912,no,,44.0,8 years ,,0
94012,528507834_88021797735,no,,71.0,16 years ,confirm,0
94510,559106925_12482260097,no,4.0,45.0,9 years ,step_3,0
94778,3815196_38250000729,yes,6.7,64.5,8 years ,confirm,1
96548,904338263_71792264232,no,1.08,63.0,14 years ,step_2,0
96845,7833554_1299514827,no,0.73,61.0,4 years ,step_1,0
97170,981280744_120143523,no,0.63,38.0,16 years ,step_1,0
97322,708759430_36042403602,no,,35.0,5 years ,,0
97723,917474705_90488900889,yes,2.13,27.5,15 years ,confirm,1
97966,299693118_1709178452,no,1.03,40.0,9 years ,step_2,0
98860,866611844_2262347832,yes,1.05,29.0,8 years ,confirm,1
99149,785296057_97267661248,no,1.33,35.5,12 years ,step_3,0
99149,909607784_38540978421,yes,2.37,35.5,12 years ,confirm,1
99811,433614331_56537729809,yes,3.62,38.5,13 years ,confirm,1
100503,179430940_22221667793,yes,4.03,21.0,8 years ,confirm,1
100888,46089148_27111188039,yes,4.73,40.5,7 years ,confirm,1
101143,139982381_84644169736,no,,68.0,9 years ,,0
101246,405099375_97051901142,no,,59.0,6 years ,,0
101246,475832867_1353726342,no,,59.0,6 years ,,0
101818,258778250_59138244870,yes,5.72,46.5,13 years ,confirm,1
102859,515656502_36819456445,no,,72.0,7 years ,,0
103515,749934293_7492291070,yes,4.73,45.5,18 years ,confirm,1
104328,666284448_77182038358,yes,1.92,36.5,8 years ,confirm,1
104328,973572225_11347870125,no,1.23,36.5,8 years ,step_3,0
104781,941164826_86972312621,yes,0.97,39.5,10 years ,confirm,1
104884,4119383_9641819826,yes,3.08,83.0,28 years ,confirm,1
105007,676020267_36602664238,no,,35.0,9 years ,,0
105026,649410248_25903995082,yes,7.77,62.5,15 years ,confirm,1
105357,570176024_72917068401,yes,5.92,82.0,23 years ,confirm,1
105360,896606788_98437433340,yes,16.58,56.5,5 years ,confirm,1
105623,2287956_63451426604,yes,3.95,36.0,10 years ,confirm,1
106457,110662515_52050757677,no,,91.0,9 years ,,0
106457,286798585_3504387086,no,,91.0,9 years ,,0
106457,913345537_58533784055,no,-12973.7,91.0,9 years ,step_2,0
108335,397260158_63528478427,no,-8730.13,25.0,4 years ,step_3,0
108335,532408575_29730210600,no,,25.0,4 years ,,0
108438,713067968_90441430889,yes,1.28,28.5,6 years ,confirm,1
109175,569622774_88261708161,no,5.45,38.0,4 years ,step_3,0
109175,910859847_69307434600,no,7.72,38.0,4 years ,step_3,0
109413,74035521_61409207475,no,0.28,51.0,21 years ,step_1,0
109465,318713648_83247113994,yes,3.55,27.5,5 years ,confirm,1
109859,475424419_54582427067,yes,16.07,67.5,28 years ,confirm,1
109859,506217381_80328878130,no,,67.5,28 years ,,0
109932,667191888_97273373713,no,0.18,44.0,12 years ,step_1,0
109932,869455232_40469802426,no,0.4,44.0,12 years ,step_1,0
110890,168860660_11275315011,no,0.73,83.0,22 years ,step_1,0
111012,978521250_81829593758,yes,1.77,30.0,8 years ,confirm,1
111304,611496545_86719736966,yes,15.7,33.5,8 years ,confirm,1
111477,266055493_52634308704,no,0.07,55.0,20 years ,step_1,0
112128,193725435_82130832832,yes,2.75,28.0,10 years ,confirm,1
114459,698342456_20487912439,no,4.78,49.0,22 years ,step_3,0
114541,458674591_652536179,yes,5.15,35.0,11 years ,confirm,1
114566,281540239_3389431136,yes,2.58,49.5,17 years ,confirm,1
114780,443916307_40065251942,no,,28.0,7 years ,,0
115597,87995613_54379608893,no,0.22,54.0,16 years ,step_1,0
115834,79622908_59234823489,no,-9.8,43.0,6 years ,step_3,0
115973,376941435_90052446593,yes,8.5,30.5,9 years ,confirm,1
116345,748170178_5687634084,yes,9.78,51.5,14 years ,confirm,1
116505,68004879_58357825889,no,,25.0,4 years ,,0
116682,436702882_86972469980,no,,45.0,11 years ,,0
116693,492090004_30432099852,yes,1.27,61.0,4 years ,confirm,1
117320,568189616_48091165097,no,,58.0,13 years ,confirm,0
117621,385927248_38218942237,yes,6985.55,35.0,14 years ,confirm,1
117883,53197465_88587020745,no,,63.0,29 years ,,0
117979,374753105_98088955424,yes,1.45,67.5,7 years ,confirm,1
117979,776127515_36646891436,no,,67.5,7 years ,,0
118358,423047351_31555073589,yes,6.68,72.0,26 years ,confirm,1
118415,908374908_77096168140,yes,3.13,56.5,29 years ,confirm,1
118723,360014541_87761783238,no,-28.92,74.0,29 years ,step_1,0
118964,350089902_54266680731,yes,21.88,21.5,17 years ,confirm,1
120309,488394737_20284265969,yes,4.02,64.5,16 years ,confirm,1
120872,396753504_86963657654,yes,-8447.95,64.5,15 years ,confirm,1
122493,478390874_81942341909,no,8.0,57.0,6 years ,step_1,0
123141,237977729_33060024853,no,2.15,23.0,10 years ,step_3,0
123552,148639960_64627368607,no,-2.58,47.0,20 years ,step_2,0
124118,377371820_20980760755,no,,49.0,7 years ,confirm,0
124118,645875304_50940952900,yes,3.68,49.0,7 years ,confirm,1
124572,159398722_70100717487,yes,9.47,51.5,15 years ,confirm,1
124624,663560595_73437772832,yes,2.57,26.5,5 years ,confirm,1
124916,922280837_89073485618,yes,-1.9,25.5,4 years ,confirm,1
125022,446502152_379276190,yes,4.77,45.5,7 years ,confirm,1
125273,574986319_52955652647,no,,60.0,15 years ,,0
125305,86626816_39833722798,yes,1.75,33.5,11 years ,confirm,1
125679,6508610_62218651538,yes,2.67,22.5,4 years ,confirm,1
125679,71206629_1262001843,no,1.95,22.5,4 years ,step_3,0
126090,321627509_35465256543,no,0.18,73.0,23 years ,step_1,0
126090,636396882_1920964925,no,-1.28,73.0,23 years ,step_1,0
126090,95396386_88555663981,no,,73.0,23 years ,,0
126171,980353032_33875204238,yes,6.12,72.5,15 years ,confirm,1
126285,356171425_32179587778,yes,-1.83,48.5,15 years ,confirm,1
126309,369291810_99885563584,no,-1.4,43.0,5 years ,step_3,0
126759,459514930_46366739634,yes,11.83,22.0,14 years ,confirm,1
126893,336117792_48437073412,no,,73.0,35 years ,,0
127477,940387059_47014948674,no,1.87,67.0,11 years ,step_3,0
128147,631063905_10806461867,no,-1.47,26.0,9 years ,step_2,0
128801,421518297_83678743865,yes,12.38,72.5,9 years ,confirm,1
128983,437371872_44640051307,no,-1.08,35.0,16 years ,step_2,0
129549,905050134_82594668200,yes,4.25,69.5,5 years ,confirm,1
129659,228212334_78576161883,yes,16.02,67.5,15 years ,confirm,1
130031,476107928_20786500124,yes,34582.92,54.0,17 years ,confirm,1
131064,602899881_94965593849,no,-0.37,28.0,8 years ,step_1,0
132547,639186618_24257345312,no,2.67,55.0,8 years ,step_1,0
133101,796117285_25354023544,no,3.03,33.0,6 years ,step_3,0
133471,578183898_14394948154,yes,1.87,33.5,6 years ,confirm,1
133487,520301538_69648105377,no,0.37,64.0,27 years ,step_3,0
133522,127820124_48998568447,yes,7.08,58.0,3 years ,confirm,1
133522,325510630_25821236859,no,0.18,58.0,3 years ,step_1,0
133565,887954469_3437555534,no,,30.0,6 years ,,0
133631,682302164_14002624080,yes,2.63,27.5,14 years ,confirm,1
134207,427589586_71627068018,yes,11.33,57.0,6 years ,confirm,1
134286,466331876_70042626886,no,,69.0,9 years ,,0
134286,846941027_8055535169,no,1.03,69.0,9 years ,step_1,0
134582,922783489_8647361524,yes,4.72,52.5,11 years ,confirm,1
134657,142554613_76809013819,yes,5.98,50.5,8 years ,confirm,1
134829,206854611_51502171809,yes,6.67,61.5,7 years ,confirm,1
135199,512502686_11014121554,yes,7.0,32.0,4 years ,confirm,1
135842,46081630_70983544744,no,0.32,34.0,21 years ,step_2,0
136138,999669334_52101408980,yes,-7535.33,25.5,4 years ,confirm,1
136237,579141133_3946081914,yes,25.88,51.0,12 years ,confirm,1
136986,721543516_31532996324,no,-0.62,38.0,12 years ,step_1,0
138093,816789777_66173189856,no,-9.8,56.0,14 years ,step_3,0
138395,186144210_11426268389,no,-3.63,70.0,15 years ,step_3,0
138686,136345537_44957066996,no,0.25,61.0,23 years ,step_1,0
139079,2017942_17304663748,yes,2.95,59.5,9 years ,confirm,1
140116,38778935_54267683469,yes,2.25,48.5,20 years ,confirm,1
140488,896555484_56781518393,yes,2.47,19.5,7 years ,confirm,1
140489,156924540_25052490926,yes,4.52,21.5,5 years ,confirm,1
140690,61568684_90038136384,no,0.55,35.0,17 years ,step_2,0
141591,362020128_74397732825,no,-0.18,74.0,11 years ,step_1,0
141602,258961879_52616051213,no,0.6,25.0,4 years ,step_2,0
141602,625388692_7252020527,yes,3.12,25.0,4 years ,confirm,1
142579,929578411_26479654428,yes,0.95,38.0,10 years ,confirm,1
142667,716405420_5538629308,no,,69.0,16 years ,,0
142725,59134623_43952549306,yes,6.28,67.0,7 years ,confirm,1
143218,606697052_94792842615,yes,2.48,30.5,8 years ,confirm,1
143610,856028822_31051202081,yes,3.07,46.0,5 years ,confirm,1
143688,889569234_52604203280,yes,4.48,46.5,7 years ,confirm,1
143691,35187441_79200829139,no,-3.42,60.0,12 years ,step_3,0
144169,924930322_25492173604,yes,63385.3,29.0,9 years ,confirm,1
144244,713596436_18720683419,yes,4.25,48.5,14 years ,confirm,1
144678,26820282_40278680037,yes,4.4,46.5,5 years ,confirm,1
144773,156135569_32974310784,yes,1.07,28.5,7 years ,confirm,1
146205,891219705_165943577,yes,1.83,32.5,29 years ,confirm,1
146317,530643535_71560743815,yes,10.8,48.5,21 years ,confirm,1
146603,512123486_65556272258,no,2.17,31.0,6 years ,step_3,0
147033,977242928_20779141593,yes,2.13,41.5,8 years ,confirm,1
147077,782664081_96315279601,yes,10.6,79.5,15 years ,confirm,1
147316,40984834_16475212916,yes,10.6,65.5,15 years ,confirm,1
148037,278327305_474191557,yes,3.88,72.0,21 years ,confirm,1
148076,199417394_84393343468,no,,65.0,15 years ,,0
148099,856557177_28558219764,yes,10.92,29.5,5 years ,confirm,1
148445,941843782_62201414541,no,1.95,64.0,9 years ,step_3,0
148445,956032395_99541567931,yes,12.13,64.0,9 years ,confirm,1
148445,960924149_49606500046,no,2.5,64.0,9 years ,step_3,0
148445,99451010_19109292840,no,,64.0,9 years ,,0
148954,490808310_25067615992,yes,2.93,59.5,13 years ,confirm,1
149593,930882887_58429182785,no,0.3,30.0,6 years ,step_2,0
149685,653886555_63319184704,no,,45.0,6 years ,,0
151444,518734506_32427719131,no,2.5,31.0,7 years ,step_3,0
152356,104639417_71299051039,no,,44.0,4 years ,,0
153841,733796184_8275954599,yes,4.87,29.5,6 years ,confirm,1
